"brazilianRegion","codigo_referencia","doi","titulo_artigo_completo","titulo_periodico_revista","ISSN","volume","serie","pag_ini","pag_fim","num_artigo_eletronico",,,,,,
"Centro-Oeste","Centro-Oeste_1",,"Florística da Estação Ecológica do Jardim Botânico de Brasília e Jardim Botânico de Brasília","Herigeriana","1983-6996",3,1,11,90,"32237842PB",,,,,,
"Centro-Oeste","Centro-Oeste_5",,"A família Lemnaceae S.F. Gray no Pantanal (Mato Grosso e Mato Grosso do Sul)  Brasil","Revista Brasileira de Botânica","1806-9959",22,2,153,174,"10.1590/S0100-84041999000200007 ",,,,,,
"Centro-Oeste","Centro-Oeste_6",,"Levantamento Florístico das Characeae (Chlorophyta) de Mato Grosso e Mato Grosso do Sul, Brasil: Chara","Revista Brasileira de Botânica","0100-8404",32,4,759,774,"10.1590/S0100-84042009000400014",,,,,,
"Centro-Oeste","Centro-Oeste_15","10.1590/S0102-33061997000200010","Checklist das Macrófitas Aquáticas do Pantanal, Brasil.","Acta bor. Bras.","0102-3306",11,2,215,227,,,,,,,
"Centro-Oeste","Centro-Oeste_16",,"Composição florística e variação sazonal da biomassa
de macrófitas aquáticas em lagoa de meandro do Pantanal","Rodriguésia",,62,4,803,812,,,,,,,
"Centro-Oeste","Centro-Oeste_17",,"Distribuição de Macrófitas Aquáticas no Pantanal","III Simpósio sobre Recursos Naturais e Sócio-econômicos do Pantanal",,,,1,26,,,,,,,
"Centro-Oeste","Centro-Oeste_18","10.1590/S0102-33062008000200023","Macrófitas aquáticas de ilhas flutuantes (baceiros) nas sub-regiões do
Abobral e Miranda, Pantanal, MS, Brasil","Acta bot. bras.","0102-3306",22,2,563,571,,,,,,,
"Centro-Oeste","Centro-Oeste_20","10.1590/S1519-69842012000300015 ","Structure of aquatic vegetation of a large lake,
western border of the Brazilian Pantanal","Braz. J. Biol.","1519-6984",72,3,519,531,,,,,,,
"Centro-Oeste","Centro-Oeste_21","10.1590/S0102-33061998000200007","A família Nymphaeaceae no Pantanal, Mato Grosso do Sul, Brasil","Acta boI. bras.","0102-3306",12,2,183,194,,,,,,,
"Centro-Oeste","Centro-Oeste_22",,"Fitossociologia de Macrófitas Aquáticas associadas ao Rio
Miranda, Pantanal, MS, Brasil","Rev. Biol. Neotrop.","1807-9652",8,2,23,31,,,,,,,
"Nordeste","Nordeste_1","10.1590/S0102-33062001000100005","Levantamento florístico da Área de Proteção Ambiental de Jericoacoara, Ceará","Acta Botanica Brasilica","0102-3306",15,1,35,43,,,,,,,
"Nordeste","Nordeste_2",,"Flora vascular de açudes de uma região do semi-árido da Bahia, Brasil","Acta Botanica Brasilica",,17,4,549,559,,,,,,,
"Nordeste","Nordeste_4","10.1590/S0102-33062003000400015 ","Macrófitas aquáticas da lagoa de Jijoca de Jericoacoara, Ceará, Brasil","Acta Botanica Brasilica","0102-3306",17,4,623,631,,,,,,,
"Nordeste","Nordeste_5",,"Plantas aquáticas vasculares em uma lagoa de planície costeira no município de Candeias, Bahia, Brasil","Sitientibus Série Ciências Biologicas","1519-6097",6,1,24,29,,,,,,,
"Nordeste","Nordeste_6","10.1590/S1519-69842006000400002","Hydrologic cycle and dynamics of aquatic macrophytes in two intermittent rivers of the semi-arid region of Brazil","Brazilian Journal of Biology","1519-6984",666,2,575,585,,,,,,,
"Nordeste","Nordeste_7",,"Diversidade de plantas aquáticas vasculares em açudes do Parque Estadual de Dois Irmãos (PEDI),  Recife-Pe","Revista de Geografia","0104-5489",26,3,278,293,,,,,,,
"Nordeste","Nordeste_8",,"Diversidade de macrófitas aquáticas no estado de Pernambuco: levantamento em herbário","Revista de Geografia","0104-5490",26,3,307,319,,,,,,,
"Nordeste","Nordeste_11","10.4322/actalb.02202004","Richness and distribution of aquatic macrophytes in Brazilian semi-arid aquatic ecosystems","Acta Limnologica Brasiliensia","2179-975X",22,2,147,156,,,,,,,
"Nordeste","Nordeste_14","10.1590/S2175-78602011000400003","O gradiente rio-barragem do reservatório de Sobradinho afeta a composição florística, riqueza e formas biológicas as macrófitas aquáticas?","Rodriguesia","0370-6583",62,4,731,742,,,,,,,
"Nordeste","Nordeste_15","10.1590/S2175-78602011000400006","Composição florística e chave de identificação das macrófitas aquáticas ocorrentes em reservatórios do estado de Pernambuco","Rodriguesia","0370-6584",62,4,771,783,,,,,,,
"Nordeste","Nordeste_18","10.7447/dc.2012.027","Riqueza e diversidade de macrófitas aquáticas em mananciais da Caatinga","Diálogos & Ciência","1678-0493",32,,229,234,,,,,,,
"Nordeste","Nordeste_19","10.1590/S0100-84042012000400004","Floristic surveys of aquatic macrophytes in reservoirs in the Agreste zone of Pernambuco State, Brazil","Braziliam Journal of Botany","0100-8404",35,4,313,318,,,,,,,
"Nordeste","Nordeste_20","10.1590/S2175-78602013000400001","Angiospermas aquáticas da Área de Proteção Ambiental (APA) do Cariri, Paraíba, Brasil","Rodriguésia","2175-7860",64,4,667,683,,,,,,,
"Nordeste","Nordeste_23",,"Community Structure In Aquatic Macrophytes in the Mares Reservoir, João Pessoa, PB","Braziliam Journal of Ecology","1516-5868",,,82,88,,,,,,,
"Nordeste","Nordeste_24","10.4013/nbc.2014.91.05","Samambaias aquáticas do Rio de Contas, Bahia, Brasil","Neotropical Biology and Conservation",,9,1,42,48,,,,,,,
"Nordeste","Nordeste_25","10.15560/11.6.1806","Aquatic and marsh plants from the Recôncavo basin of Bahia state, Brazil: checklist and life forms","Check List ","1809-127X",11,6,1806,,,,,,,,
"Nordeste","Nordeste_26",,"Riqueza, composição florística, estrutura e formas biológicas de macrófitas aquáticas em reservatórios do semiárido nordestino, Brasil","Natureza on line","1806-7409",13,4,184,194,,,,,,,
"Nordeste","Nordeste_28","10.1590/1519-6984.03515 ","Urbanization effects on the composition and structure of macrophytes communities in a lotic ecosystem of Pernambuco State, Brazil","Braziliam Journal of Biology","1678-4375",76,4,888,897,,,,,,,
