"brazilianRegion","codigo_referencia","ordem_autoria","ultimo_nome","Iniciais","nome_completo"
"Centro-Oeste","Centro-Oeste_1",1,"CHACON","R.G.","Roberta Gomes Chacon"
"Centro-Oeste","Centro-Oeste_1",2,"MARTINS","R.C.","Renata Corrêa Martins"
"Centro-Oeste","Centro-Oeste_1",3,"AZEVEDO","I.N.C.","Isaac Nuno Carvalho de Azevedo"
"Centro-Oeste","Centro-Oeste_1",4,"OLIVEIRA","M.S.","Mariana de Souza Oliveira"
"Centro-Oeste","Centro-Oeste_1",5,"PAIVA","V.F.","Valdina Ferreira de Paiva"
"Centro-Oeste","Centro-Oeste_2",1,"MUNHOZ","C.B.R.","Cássia Beatriz Rodrigues Munhoz"
"Centro-Oeste","Centro-Oeste_2",2,"EUGÊNIO","C.U.O.","Chesterton Ulysses Orlando Eugênio"
"Centro-Oeste","Centro-Oeste_2",3,"OLIVEIRA","R.C.","Regina Célia de Oliveira"
"Centro-Oeste","Centro-Oeste_3",1,"POTT","A.","Arnildo Pott"
"Centro-Oeste","Centro-Oeste_3",2,"POTT","V.J.","Vali Joana Pott"
"Centro-Oeste","Centro-Oeste_4",1,"DUBS","B.","Balthasar Dubs"
"Centro-Oeste","Centro-Oeste_5",1,"POTT","V.J.","Vali Joana Pott"
"Centro-Oeste","Centro-Oeste_5",2,"CERVI","A.C.","Armando Carlos"
"Centro-Oeste","Centro-Oeste_6",1,"BUENO","N.C.","Norma Catarina Bueno"
"Centro-Oeste","Centro-Oeste_6",2,"BICUDO","C.E.de M.","Carlos Eduardo de Mattos Bicudo"
"Centro-Oeste","Centro-Oeste_6",3,"BIOLO","S.","Stefania Biolo"
"Centro-Oeste","Centro-Oeste_6",4,"MEURER","T.","Thamis Meurer"
"Centro-Oeste","Centro-Oeste_7",1,"MENDONÇA","R.M.","Roberta Magalhaes Mendonça"
"Centro-Oeste","Centro-Oeste_7",2,"BOVE","C,P.","Claudia Petean bove"
"Centro-Oeste","Centro-Oeste_8",1,"CAVALCANTI","T.B.","Taciana Barbosa Cavalcanti"
"Centro-Oeste","Centro-Oeste_8",2,"GRAHAM","S.A","Shirley A, Graham"
"Centro-Oeste","Centro-Oeste_8",3,"SILVA","M.C.","Micheline Carvalho Silva"
"Centro-Oeste","Centro-Oeste_9",1,"SOUZA","V.C.","Vinicius Castro Souza"
"Centro-Oeste","Centro-Oeste_9",2,"SOUZA","J.P.","Juliana de Paula Souza"
"Centro-Oeste","Centro-Oeste_10",1,"WANDERLEY","M.G.L.","Maria das graças Lapa Wanderley"
"Centro-Oeste","Centro-Oeste_11",1,"ZARDINI","E.M.","Elza M. Zardini"
"Centro-Oeste","Centro-Oeste_11",2,"RAVEN","H.R.","Peter H. Raven"
"Centro-Oeste","Centro-Oeste_12",1,"GUIMARÂES","E.F.","Esie Franklin Guimarães"
"Centro-Oeste","Centro-Oeste_12",2,"SILVA","M.C.","Micheline Carvalho Silva"
"Centro-Oeste","Centro-Oeste_12",3,"CAVALCANTI","T.B.","Taciana Barbosa Cavalcanti"
"Centro-Oeste","Centro-Oeste_13",1,"ASSIS","M.C.","Marta Camargo de Assis"
"Centro-Oeste","Centro-Oeste_14",1,"Melo","E.","Efigênia de Melo"
"Centro-Oeste","Centro-Oeste_15",1,"POTT","V.J.","Vali Joana Pott"
"Centro-Oeste","Centro-Oeste_15",2,"POTT","A.","Arnildo Pott"
"Centro-Oeste","Centro-Oeste_16",1,"KUFNER","D.C.L.","Deborah Christiane Leite Kufner"
"Centro-Oeste","Centro-Oeste_16",2,"SCREMIN-DIAS","E.","Edna Scremin-Dias"
"Centro-Oeste","Centro-Oeste_16",3,"GUGLIERI-CAPORAL","A.","Adriana Guglieri-Caporal"
"Centro-Oeste","Centro-Oeste_17",1,"POTT","V.J.","Vali Joana Pott"
"Centro-Oeste","Centro-Oeste_17",2,"POTT","A.","Arnildo Pott"
"Centro-Oeste","Centro-Oeste_18",1,"PIVARI","M.O.D.","Marco Otávio Dias Pivari"
"Centro-Oeste","Centro-Oeste_18",2,"POTT","V.J.","Vali Joana Pott"
"Centro-Oeste","Centro-Oeste_18",3,"POTT","A.","Arnildo Pott"
"Centro-Oeste","Centro-Oeste_19",1,"MOREIRA","S.N.","Suzana Neves Moreira"
"Centro-Oeste","Centro-Oeste_20",1,"CUNHA","N.L.","Nicolai"
"Centro-Oeste","Centro-Oeste_20",2,"DELATORRE","M. ","Milena Delatorre"
"Centro-Oeste","Centro-Oeste_20",3,"RODRIGUES","R.B.",
"Centro-Oeste","Centro-Oeste_20",4,"VIDOTTO","C.","Camila Vidotto"
"Centro-Oeste","Centro-Oeste_20",5,"GONÇALVES","F.",
"Centro-Oeste","Centro-Oeste_20",6,"SCREMIN-DIAS","E.","Edna Scremin-Dias"
"Centro-Oeste","Centro-Oeste_20",7,"DAMASCENO-JUNIOR","G. A.","Geraldo Alves Damasceno Junior"
"Centro-Oeste","Centro-Oeste_20",8,"POTT","V.J.","Vali Joana Pott"
"Centro-Oeste","Centro-Oeste_20",9,"POTT","A.","Arnildo Pott"
"Centro-Oeste","Centro-Oeste_21",1,"POTT","V.J.","Vali Joana Pott"
"Centro-Oeste","Centro-Oeste_22",1,"LEHN","C.R.","Carlos Rodrigo Lehn"
"Centro-Oeste","Centro-Oeste_22",2,"BUENO","M.L.","Marcelo Leandro Bueno"
