"brazilianRegion","codigo_referencia","titulo_capitulo","titulo_livro","organizadores","num_volumes","pag_ini","pag_fim","num_edicao_revisao","serie","ISBN ","cidade_editora","nome_editora"
"Centro-Oeste","Centro-Oeste_7","Hydroleaceae","Flora dos Estados de Goiás e Tocantins, Coleção Rizzo","José Ângelo Rizzo",34,1,19,,,"85-85003-31-6 (Coleção)","Goiânia","PRPPG/UFG"
"Centro-Oeste","Centro-Oeste_8","Lythraceae","Flora dos Estados de Goiás e Tocantins, Coleção Rizzo","José Ângelo Rizzo",28,1,150,,,"85-85003-31-6 (Coleção)","Goiânia","Editora da UFG"
"Centro-Oeste","Centro-Oeste_9","Scrophulariaceae","Flora dos Estados de Goiás e Tocantins, Coleção Rizzo","José Ângelo Rizzo",22,1,83,,,"85-85003-31-6 (Coleção)",,"Editora da UFG"
"Centro-Oeste","Centro-Oeste_10","Xyridaceae","Flora dos Estados de Goiás, Coleção Rizzo","José Ângelo Rizzo",11,1,81,,,"85-85003-73-1 (Volume)","Goiânia","Cegraf/UFG"
"Centro-Oeste","Centro-Oeste_11","Onagraceae","Flora dos Estados de Goiás e Tocantins, Coleção Rizzo","José Ângelo Rizzo",20,1,87,,,"85-85003-31-6 (Coleção)",,"Editora da UFG"
"Centro-Oeste","Centro-Oeste_12","Piperaceae","Flora dos Estados de Goiás e Tocantins, Coleção Rizzo","José Ângelo Rizzo",32,1,67,,,,,"Gráfica e Editora Vieira"
"Centro-Oeste","Centro-Oeste_13","Alstromeriaceae","Flora dos Estados de Goiás e Tocantins, Coleção Rizzo","José Ângelo Rizzo",36,1,48,,,"85-85003-31-6 (Coleção)",,"PRPPG/UFG"
"Centro-Oeste","Centro-Oeste_14","Polygonaceae","Flora do Distrito Federal","Taciana Barbosa Cavalcanti e Alba Evangelista Ramos",2,127,140,,,"85-87697-17-X",,"Stilo Gráfica e Editora"
"Centro-Oeste","Centro-Oeste_23","Riqueza verde em meio azul","Nos Jardins Submersos da Bodoquena","Paulo Robson de Souza",1,59,93,,,"85-85917-50-4","Campo Grande","Editora UFMS"
"Nordeste","Nordeste_10","Macroflora aquática do reservatório Sobradinho – BA, trecho sub-médio do rio São Francisco","Reservatórios do Nordeste do Brasil: biodiversidade, ecologia e manejo","A.M. Moura; E.L. Araújo; M.C. Bittencourt-Oliveira; R.M.M. Pimentel; U.P. Albuquerque.",1,189,212,,,"978-85-7917-078-2","Recife","Nuppea"
"Nordeste","Nordeste_12","Checklist das macrófitas vasculares de Pernambuco: riqueza de espécies, formas biológicas e considerações sobre distribuição","Biodiversidade, potencial econômico e processos ecofisiológicos em ecossistemas Nordestinos","U.P. Albuquerque; A.N. Moura; E.L. Araujo",2,253,280,,,"978-85-7917-071-3","Recife","Nuppea"
"Nordeste","Nordeste_13","Análise crítica do conhecimento das macrófitas aquáticas no estado do Piauí","Biodiveridade do Piauí: Pesquisas e Perspctivas","F.S. Santos-Filho; A.F.C.L. Soares",1,173,190,,,8580422434,"Curitiba","CRV"
"Nordeste","Nordeste_17","Macrófitas aquáticas nas áreas do projeto de integração do Rio São Francisco","Flora das Caatingas do Rio São Francisco: história natural e conservação","J.A. Siqueira Filho",1,192,229,,,"978-85-88742-50-5","Rio de Janeiro","Andrea Jakobsson"
"Nordeste","Nordeste_21","Flora Aquática de Duas Lagoas Temporárias","Parque Estadual Mata da Pimenteira: História Natural e Conservação da Caatinga","Ednilza Marahão dos Santos, Mauro de Melo Junior, Jacqueline Santos Silva-Cavalcanti e Gleymerson Vieira Lima de Almeida",1,65,80,,,"978-85-7946-138-5","Recife","EDUFRPE"
"Nordeste","Nordeste_27","Inventário de marófitas aquáticas ocorrentes no Rio Guaribas, zona urbana de Picos-Piauí","BIODIVERSIDADE DO MEIO NORTE DO BRASIL: conhecimentos ecológicos e aplicações","Eduardo Bezerra de Almeida Júnior; Francsco Soares Santos Filho",1,111,124,,,"978-85-444-0900-8","Curitiba","CRV"
"Norte","Norte_5","Inventário Florístico das Ressacas das Bacias do Igarapé da Fortaleza e do Rio Curiaú","DIAGNÓSTICO DAS RESSACAS DO ESTADO DO AMAPÁ: BACIAS DO IGARAPÉ DA FORTALEZA E RIO CURIAÚ","Takiyama, L.R.; Silva, A.Q. da ",1,1,22,,,,"Macapá","CPAQ/IEPA e DGEO/SEMA"
"Norte","Norte_9","Conhecendo as macrófitas aquáticas da Amazônia","Conhecendo as áreas úmidas amazônicas: uma viagem pelas várzeas e igapós ","Lopes, A., Piedade, M.T.F.",1,54,62,,,,"Manaus","INPA"
"Norte","Norte_6","Ecology of aquatic macrophytes in Amazonia","The Amazon","Sioli H. ",56,269,293,,,,,
"Norte","Norte_52","The decomposition of aquatic macrophytes in the floating meadows of a central Amazonian varzea lake","Biogeographica","Sioli H. ",7,115,123,,,,,
"Norte","Norte_53","DIVERSIDADE FLORÍSTICA, ESTRUTURA E DINÂMICA DE MACRÓFITAS AQUÁTICAS NO RIBEIRÃO SÃO JOÃO, PALMAS, TOCANTINS","Anais da 17º Jornada de Iniciação Científica da UNITINS/CNPq","Corrêa, Mauro Lúcio Torres ",1,60,65,,,"85-89102-48-3","Palmas","UNITINS"
"Norte","Norte_66","Environmental Impact of an Amazon Reservoir, Curuá-Una /Pará: Limnological Aspects","Neotropical Ecosystems, Proceedings of the German-Brazilian Workshop, ","Lieberei, R., Bianchi, H-K., Boehm, V., Reisdorff, C., ",1,511,516,,,"3-00-010691-X","Hamburg","GKSS-Geesthacht"
"Sudeste","Sudeste_18","A vegetação dos brejos e das margens da lagoa","Lagoa Santa - Contribuição para geographia phytobiologica",,1,168,174,,1,2302002,"Belo Horizonte","Imprensa Official"
"Sudeste","Sudeste_19","A formação limnophila","Lagoa Santa - Contribuição para geographia phytobiologica",,1,174,177,,1,2302002,"Belo Horizonte","Imprensa Official"
