"brazilianRegion","codigo_referencia","titulo_tese","nivel","curso","instituicao","nome_orientador","ano_fim","ano_ini"
"Centro-Oeste","Centro-Oeste_19","FLORA, DISTRIBUIÇÃO E ESTRUTURA DA VEGETAÇÃO DAS ÁREAS ÚMIDAS DE UMA REGIÃO SAVÂNICA BRASILEIRA: IMPLICAÇÕES PARA A CONSERVAÇÃO DA BIODIVERSIDADE","Doutorado","Ciências","UFMG","A.T.Oliveira Filho",2015,2011
"Centro-Oeste","Centro-Oeste_24","Florística e Fitossociologia de Veredas de Bela Vista de Goiás, GO, Brasil","Doutorado","Ciências Ambientais","UFG","L.J. CHAVES",2010,
"Nordeste","Nordeste_3","Ciclo hidrológico de dois rios intermitentes da região semi-árida do Brasil, com ênfase em macrófitas aquáticas","DR","Programa de Pós Graduação em Ecologia e Recursos Naturais","Universidade Federal de São Carlos","Irineu Bianchini Júnior",1999,2003
"Nordeste","Nordeste_9","Levantamento florístico e produtividade de macrófitas aquáticas ocorrentes em ambientes limnéticos do estado de Pernambuco – Brasil","DR","Programa de Pós Graduação em Botânica","Universidade Federal Rural de Pernambuco","Sonia Maria Barreto Pereira",2005,2009
"Nordeste","Nordeste_16","Caracterização ecológica estrutural de macrófitas em reservatórios no estado de Pernambuco","DR","Botânica","Universidade Federal Rural de Pernambuco (UFRPE)","Carmen Sílvia Zíckel",2011,2007
"Norte","Norte_27","Macrófitas aquáticas na área de transição entre o rio Areias e o reservatório da Usina Hidrelétrica Luís Eduardo Magalhães - Tocantins: cobertura, biomassa e macroinvertebrados associados","MS","Ecologia de Ecótonos","Universidade Federal do Tocantins","Solange de Fátima Lolis.",2017,
"Norte","Norte_28","Levantamento Florístico e Obtenção do Material Genético de Macrófitas Aquáticas das Grades do PPBIO - Roraima","GR","Ciências Biológicas","Universidade Federal de Roraima","Profa. Dra. Lucilia Dias Pacobahyba",2012,2008
"Norte","Norte_29","Peixe-boi da Amazônia (Trichechus inunguis Natterer 1883): mortalidade e uso do habitat na Reserva de Desenvolvimento Sustentável Piagaçu-Purus, Amazonas, Brasil ","MS","Biologia de água e Pesca Interior","Instituto Nacional de Pesquisas da Amazônia","Profa. Dra. Vera Maria Ferreira da Silva",2015,2013
"Norte","Norte_30","Caracterização de igapós de águas claras e pretas e suas disponibilidades alimentares para o peixe-boi-da-Amazônia (Trichechus inunguis) ","DR","Biologia de água e Pesca Interior","Instituto Nacional de Pesquisas da Amazônia","Profa. Dra. Maria Teresa Fernandez Piedade ",2017,2014
"Norte","Norte_31","Composição florística de macrófitas aquáticas e a relação com a dinâmica dos lagos de Roraima, Brasil ","DR","Biodiversidade e Biotecnologia","Museu Paraense Emílio Goeldi","Prof. Dr. Mário Augusto Gonçalves Jardim",2015,2012
