gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
900143369				CC_BY_4_0	2014-05-08T15:46:00Z								fcnym.unlp.edu.ar	herb			PRESERVED_SPECIMEN				urn:catalog:fcnym.unlp.edu.ar:herb:000012	000012	000012	López Miranda, A.; Sagástegui Alba, A.															PRESENT																																									SOUTH_AMERICA				PE	Cajamarca			Playa La Lima, ruta Celendín-Río Marañón																																																												Arnaldoa magnifica Cabrera								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Arnaldoa	Arnaldoa			magnifica			SPECIES				SYNONYM			b4a37621-7556-4705-9349-ede261feebe4	AR	2024-04-17T11:02:43.466Z						CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE		false	false	3142048	3142046	6	7707728	220	414	3065	3142042		3142046	Arnaldoa weberbaueri	Arnaldoa weberbaueri (Muschl.) Ferreyra	Arnaldoa magnifica		EML	2024-04-17T11:02:43.466Z	2024-04-17T11:01:57.665Z	true			false	LATIN_AMERICA	LATIN_AMERICA									NE
900143348				CC_BY_4_0	2014-05-08T15:46:00Z								fcnym.unlp.edu.ar	herb			PRESERVED_SPECIMEN				urn:catalog:fcnym.unlp.edu.ar:herb:000009	000009	000009	López Miranda, A.; Sagástegui Alba, A.															PRESENT																																									SOUTH_AMERICA				PE	Cajamarca			Playa La Lima, ruta Celendín-Río Marañón																																																												Arnaldoa magnifica Cabrera								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Arnaldoa	Arnaldoa			magnifica			SPECIES				SYNONYM			b4a37621-7556-4705-9349-ede261feebe4	AR	2024-04-17T11:02:43.472Z						CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE		false	false	3142048	3142046	6	7707728	220	414	3065	3142042		3142046	Arnaldoa weberbaueri	Arnaldoa weberbaueri (Muschl.) Ferreyra	Arnaldoa magnifica		EML	2024-04-17T11:02:43.472Z	2024-04-17T11:01:57.665Z	true			false	LATIN_AMERICA	LATIN_AMERICA									NE
47726973				CC_BY_4_0									AU	AAU			PRESERVED_SPECIMEN				AAU-Herbarium-M.H.G.Gustafsson515	M.H.G.Gustafsson515		M.H.G. Gustafsson															PRESENT																							2002-07-02		183	183	2002	7	2							Shrub 3 m. Leaves greyish. Flowers orange.					SOUTH_AMERICA				PE	Cajamarca			Prov. Celendín. By the road Celendín-Balsas. Dry scrub.									-6.9	-78.016	2000.0											MAP																																						Arnaldoa weberbaueri (Muschl.) Ferreyra								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Arnaldoa	Arnaldoa			weberbaueri			SPECIES				ACCEPTED			833db434-f762-11e1-a439-00145eb45e9a	DK	2024-01-25T09:56:47.929Z	1800.0	500.0				GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	3142046	3142046	6	7707728	220	414	3065	3142042		3142046	Arnaldoa weberbaueri	Arnaldoa weberbaueri (Muschl.) Ferreyra	Arnaldoa weberbaueri (Muschl.) Ferreyra		EML	2024-01-25T09:56:47.929Z	2023-07-06T09:43:15.550Z	true			false	LATIN_AMERICA	EUROPE	PER	Peru	PER.6_1	Cajamarca	PER.6.3_1	Celendín	PER.6.3.12_1	Utco	NE
4527471664				CC_BY_4_0									LP				MATERIAL_CITATION			"{""phylogenies"": [{""phyloTreeTipLabel"": ""Asterales_Asteraceae_Arnaldoa_weberbaueri"", ""phyloTreeFileName"": ""global_tree_renamed.nex""}]}"	s05579		2602	Duncan															PRESENT					https://www.ebi.ac.uk/ena/browser/view/ERR7618372																																																																																																								Arnaldoa weberbaueri (Muschl.) Ferreyra								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Arnaldoa	Arnaldoa			weberbaueri			SPECIES				ACCEPTED			4195e042-b632-47ba-9545-32a5e3033ff7	GB	2024-10-25T09:25:21.411Z						AMBIGUOUS_INSTITUTION		false	false	3142046	3142046	6	7707728	220	414	3065	3142042		3142046	Arnaldoa weberbaueri	Arnaldoa weberbaueri (Muschl.) Ferreyra	Arnaldoa weberbaueri		DWC_ARCHIVE	2024-10-25T09:25:21.411Z	2024-10-25T09:25:05.612Z				true		EUROPE									NE
4516660101				CC_BY_NC_4_0	2024-01-29T03:34:44Z		https://www.inaturalist.org/observations/197628504	Norbert Kilian					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/197628504	197628504		Norbert Kilian															PRESENT																							2018-05-22T16:13	16:13:00-05:00	142	142	2018	5	22	2018/05/22 16:13											SOUTH_AMERICA				PE	Huánuco				Dep. Ancash, descent W of Huacaybamba into the valley of the Rio Marañon, 2600 m, Huacaybamba Province, Peru								-9.053117	-76.96295																																446391618				Norbert Kilian		2024-01-26T19:28:51				632874								Arnaldoa weberbaueri (Muschl.) Ferreyra								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Arnaldoa	Arnaldoa			weberbaueri			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-11-02T16:24:12.847Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	3142046	3142046	6	7707728	220	414	3065	3142042		3142046	Arnaldoa weberbaueri	Arnaldoa weberbaueri (Muschl.) Ferreyra	Arnaldoa weberbaueri		DWC_ARCHIVE	2024-11-02T16:24:12.847Z	2024-11-02T00:05:32.060Z	true			false	LATIN_AMERICA	NORTH_AMERICA	PER	Peru	PER.10_1	Huánuco	PER.10.3_1	Huacaybamba	PER.10.3.3_1	Huacaybamba	NE
438329898				CC_BY_4_0	2018-10-26T16:56:41Z					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PRESERVED_SPECIMEN				http://coldb.mnhn.fr/catalognumber/mnhn/p/p00703479	P00703479		Vidal-Sénège, M.															PRESENT	hb																						1877-05-10		130	130	1877	5	10												SOUTH_AMERICA				PE					Balsa																																												NEOTYPE															Arnaldoa weberbaueri (Muschl.) Ferreyra								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Arnaldoa	Arnaldoa			weberbaueri			SPECIES				ACCEPTED			b5cdf794-8fa4-4a85-8b26-755d087bf531	FR	2024-11-06T17:46:27.902Z						CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY	StillImage	false	false	3142046	3142046	6	7707728	220	414	3065	3142042		3142046	Arnaldoa weberbaueri	Arnaldoa weberbaueri (Muschl.) Ferreyra	Arnaldoa wederbaueri (Muschl.) Ferreira		EML	2024-11-06T17:46:27.902Z	2024-11-06T16:13:42.884Z	true			false	LATIN_AMERICA	EUROPE									NE
4061811775		http://www.tropicos.org/Specimen/102710140		CC_BY_4_0	2022-12-03T22:48:00Z			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		US	Tropicos	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:102710140	102710140	16871	Rainer W. Bussmann;Narel Paniagua Zambrana;Carlos Vega Ocaña		6													PRESENT																						94	2011-05-13		133	133	2011	5	13												SOUTH_AMERICA				PE	La Libertad	Bolivar		Protected due to name conservation status									-7.04	-77.92																																				John Pruski (MO)		2016-01-01T00:00:00				2737397								Arnaldoa weberbaueri (Muschl.) Ferreyra								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Arnaldoa	Arnaldoa			weberbaueri			SPECIES			ICNafp	ACCEPTED	No opinion		e053ff53-c156-4e2e-b9b5-4462e9625424	US	2024-11-02T07:21:33.721Z	1914.0					GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_INSTITUTION		true	false	3142046	3142046	6	7707728	220	414	3065	3142042		3142046	Arnaldoa weberbaueri	Arnaldoa weberbaueri (Muschl.) Ferreyra	Arnaldoa weberbaueri (Muschl.) Ferreyra		EML	2024-11-02T07:21:33.721Z	2024-11-02T05:33:26.449Z	true			false	LATIN_AMERICA	NORTH_AMERICA	PER	Peru	PER.13_1	La Libertad	PER.13.2_1	Bolívar	PER.13.2.4_1	Longotea	NE
4061756468		http://www.tropicos.org/Specimen/2047475		CC_BY_4_0	2012-10-22T05:05:00Z			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859			Tropicos	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:2047475	2047475	4967	Paul C. Hutchison;Wolfgang Krahn															PRESENT																						312	1964-04-08		99	99	1964	4	8												SOUTH_AMERICA				PE	Amazonas	Chachapoyas		Protected due to name conservation status																																																				2737397								Arnaldoa weberbaueri (Muschl.) Ferreyra								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Arnaldoa	Arnaldoa			weberbaueri			SPECIES			ICNafp	ACCEPTED	No opinion		e053ff53-c156-4e2e-b9b5-4462e9625424	US	2024-11-02T07:20:20.162Z	1940.0					TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE		false	false	3142046	3142046	6	7707728	220	414	3065	3142042		3142046	Arnaldoa weberbaueri	Arnaldoa weberbaueri (Muschl.) Ferreyra	Arnaldoa weberbaueri (Muschl.) Ferreyra		EML	2024-11-02T07:20:20.162Z	2024-11-02T05:33:26.449Z	true			false	LATIN_AMERICA	NORTH_AMERICA									NE
4061615539		http://www.tropicos.org/Specimen/102710139		CC_BY_4_0	2022-12-03T22:48:00Z			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		NY	Tropicos	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:102710139	102710139	16871	Rainer W. Bussmann;Narel Paniagua Zambrana;Carlos Vega Ocaña		6													PRESENT																						94	2011-05-13		133	133	2011	5	13												SOUTH_AMERICA				PE	La Libertad	Bolivar		Protected due to name conservation status									-7.04	-77.92																																				John Pruski (MO)		2016-01-01T00:00:00				2737397								Arnaldoa weberbaueri (Muschl.) Ferreyra								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Arnaldoa	Arnaldoa			weberbaueri			SPECIES			ICNafp	ACCEPTED	No opinion		e053ff53-c156-4e2e-b9b5-4462e9625424	US	2024-11-02T07:23:06.487Z	1914.0					GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION		true	false	3142046	3142046	6	7707728	220	414	3065	3142042		3142046	Arnaldoa weberbaueri	Arnaldoa weberbaueri (Muschl.) Ferreyra	Arnaldoa weberbaueri (Muschl.) Ferreyra		EML	2024-11-02T07:23:06.487Z	2024-11-02T05:33:26.449Z	true			false	LATIN_AMERICA	NORTH_AMERICA	PER	Peru	PER.13_1	La Libertad	PER.13.2_1	Bolívar	PER.13.2.4_1	Longotea	NE
4061133501		http://www.tropicos.org/Specimen/102710137		CC_BY_4_0	2022-12-03T22:48:00Z			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		K	Tropicos	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:102710137	102710137	16871	Rainer W. Bussmann;Narel Paniagua Zambrana;Carlos Vega Ocaña		6													PRESENT																						94	2011-05-13		133	133	2011	5	13												SOUTH_AMERICA				PE	La Libertad	Bolivar		Protected due to name conservation status									-7.04	-77.92																																				John Pruski (MO)		2016-01-01T00:00:00				2737397								Arnaldoa weberbaueri (Muschl.) Ferreyra								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Arnaldoa	Arnaldoa			weberbaueri			SPECIES			ICNafp	ACCEPTED	No opinion		e053ff53-c156-4e2e-b9b5-4462e9625424	US	2024-11-02T07:23:06.086Z	1914.0					GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION		true	false	3142046	3142046	6	7707728	220	414	3065	3142042		3142046	Arnaldoa weberbaueri	Arnaldoa weberbaueri (Muschl.) Ferreyra	Arnaldoa weberbaueri (Muschl.) Ferreyra		EML	2024-11-02T07:23:06.086Z	2024-11-02T05:33:26.449Z	true			false	LATIN_AMERICA	NORTH_AMERICA	PER	Peru	PER.13_1	La Libertad	PER.13.2_1	Bolívar	PER.13.2.4_1	Longotea	NE
