"type"|"right"|"occurrenceID_GBIF"|"rightsHolder"|"modified"|"institutionCode"|"collectionCode"|"catalogNumber"|"recordNumber"|"recordedBy"|"eventDate"|"year"|"month"|"day"|"occurrenceRemarks"|"fieldNotes"|"country"|"stateProvince"|"municipality"|"locality"|"minimumElevationInMeters"|"maximumElevationInMeters"|"verbatimLatitude"|"verbatimLongitude"|"decimalLatitude"|"decimalLongitude"|"identifiedBy"|"dateIdentified"|"identificationRemarks"|"identificationQualifier"|"typeStatus"|"scientifname"|"family"|"genus"|"specificEpithet"|"infraspecificEpithet"|"taxonRank"|"scientificNameAuthorship"|"Clado"|"fieldnumber"|"kingdom"|"phylum"|"otherCatalogNumbers"
"Collection"|"Creative Commons"|"urn:catalog:FCAB:6991"|"FCAB"|"2023-10-26"|"FCAB"|"FCAB"|"FCAB006991"|"415"|"P.H.A. Melo"|"2003-3-6"|"2003"|"3"|"6"|""|""|"Brasil"|"Minas Gerais"|"Pains"|"MG 439 Km 16."|""|""|""|""|""|""|""|""|""|""|""|"Alternanthera"|"AMARANTHACEAE"|"Alternanthera"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"FCAB 6991"
"Collection"|"Creative Commons"|"urn:catalog:UNOP:5941"|"UNOP"|"2021-03-16"|"UNOP"|"UNOP"|"UNOP005941"|"1020"|"Melo, P.H.A."|"2004-4-0"|"2004"|"4"|"0"|"no alto de afloramento calcário, flores amarelo-claro, frutos imaturos verdes."|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Fricom, Belo Vale."|"750"|""|""|""|"-20.3536111"|"-45.5572222"|"Stehmann, J.R."|"4/2004"|""|""|""|"Solandra grandiflora Sw."|"SOLANACEAE"|"Solandra"|"grandiflora"|""|"specie"|"Sw."|"Angiospermas"|""|"Plantae"|""|"UNOP 5941"
"Collection"|"Creative Commons"|"urn:catalog:FCAB:6988"|"FCAB"|"2023-10-26"|"FCAB"|"FCAB"|"FCAB006988"|"780"|"P.H.A. Melo"|"2003-8-9"|"2003"|"8"|"9"|""|""|"Brasil"|"Minas Gerais"|"Pains"|"MG 439 KM 16."|"750"|""|""|""|""|""|"J.C. Siqueira"|""|""|""|""|"Pfaffia"|"AMARANTHACEAE"|"Pfaffia"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"FCAB 6988"
"Collection"|"Creative Commons"|"urn:catalog:FCAB:7008"|"FCAB"|"2023-10-26"|"FCAB"|"FCAB"|"FCAB007008"|"643"|"P.H. Melo"|"2003-5-25"|"2003"|"5"|"25"|""|""|"Brasil"|"Minas Gerais"|"Pains"|"MG Km 16."|"750"|""|""|""|""|""|"J.C. Siqueira"|""|""|""|""|"Chamissoa altissima (Jacq.) Kunth"|"AMARANTHACEAE"|"Chamissoa"|"altissima"|""|"specie"|"(Jacq.) Kunth"|"Angiospermas"|""|"Plantae"|""|"FCAB 7008"
"Collection"|"Creative Commons"|"urn:catalog:FCAB:6992"|"FCAB"|"2023-10-26"|"FCAB"|"FCAB"|"FCAB006992"|"885"|"P.H.A. Melo"|"2003-9-15"|"2003"|"9"|"15"|""|""|"Brasil"|"Minas Gerais"|"Pains"|""|"750"|""|""|""|""|""|"J.C. Siqueira"|""|""|""|""|"Alternanthera"|"AMARANTHACEAE"|"Alternanthera"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"FCAB 6992"
"Collection"|"Creative Commons"|"urn:catalog:FCAB:6993"|"FCAB"|"2023-10-26"|"FCAB"|"FCAB"|"FCAB006993"|"361"|"P.H.A. Melo"|"2003-1-31"|"2003"|"1"|"31"|""|""|"Brasil"|"Minas Gerais"|"Pains"|"MG 439 Km 16."|""|""|""|""|""|""|"J.C. Siqueira"|"2004"|""|""|""|"Chamissoa acuminata Mart."|"AMARANTHACEAE"|"Chamissoa"|"acuminata"|""|"specie"|"Mart."|"Angiospermas"|""|"Plantae"|""|"FCAB 6993"
"Collection"|"Creative Commons"|"urn:catalog:RB:421513"|"RB"|"2017-10-19"|"RB"|"RB"|"RB00421513"|"215"|"R. A. X. Borges"|"2006-7-11"|"2006"|"7"|"11"|"Arbusto, 1,5 m, folhas levem discolores, cálice verde, corola amarela, estames e estiletes amarelos"|""|"Brasil"|"Minas Gerais"|"Pains"|"Mineração Vale do São Miguel."|"629 m"|""|""|""|"-20.3711111"|"-45.6691667"|"M. G. Bovini"|"8/2006"|""|""|""|"Malvastrum americanum (L.) Torr."|"MALVACEAE"|"Malvastrum"|"americanum"|""|"specie"|"(L.) Torr."|"Angiospermas"|""|"Plantae"|""|"RB 427350"
"Collection"|"Creative Commons"|"urn:catalog:FCAB:6995"|"FCAB"|"2024-10-02"|"FCAB"|"FCAB"|"FCAB006995"|"1128"|"P.H.A. Melo"|"2004-4-8"|"2004"|"4"|"8"|"Flor branca"|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Amargoso, MG 439 Km 16."|"700"|"750"|""|""|"-20.3808334"|"-45.6511111"|"J.C. Siqueira"|"2004"|""|""|""|"Alternanthera brasiliana (L.) Kuntze"|"AMARANTHACEAE"|"Alternanthera"|"brasiliana"|""|"specie"|"(L.) Kuntze"|"Angiospermas"|""|"Plantae"|""|"FCAB 6995"
"Collection"|"Creative Commons"|"urn:catalog:HSTM:12060"|"HSTM"|"2020-01-28"|"HSTM"|"HSTM"|"HSTM012060"|"2429"|"Melo, P. H. A."|"2006-11-25"|"2006"|"11"|"25"|"Arbusto, terrícola, margem de curso d´água , flor rosa. Prensada em alcool 70% amostra preservada em sílica."|""|"Brasil"|"Minas Gerais"|"Pains"|"Nascente do Rio São Miguel, região do Onça."|"2429"|""|""|""|"-20.4311111"|"-45.6188889"|""|""|""|""|""|"Cestrum"|"SOLANACEAE"|"Cestrum"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"HSTM 12060"
"Collection"|"Creative Commons"|"urn:catalog:RB:1416404"|"RB"|"2023-03-16"|"RB"|"RB"|"RB01416404"|"4410"|"M.G.Bovini"|"2018-5-21"|"2018"|"5"|"21"|"Escandente, semi-heliófila com espinhos. Folhas membranáceas, concolores. Frutos imaturos verdes."|""|"Brasil"|"Minas Gerais"|"Pains"|"Estrada de chão para Pains, próximo ao rio São Miguel. 660m"|""|""|""|""|"-20.2608333"|"-45.6686111"|"C. Farney"|"3/2023"|""|""|""|"Pisonia aculeata L."|"NYCTAGINACEAE"|"Pisonia"|"aculeata"|""|"specie"|"L."|"Angiospermas"|""|"Plantae"|""|"RB 791990"
"Collection"|"Creative Commons"|"urn:catalog:BHCB:1122709"|"BHCB"|"2019-06-12"|"BHCB"|"BHCB"|"BHCB01122709"|"1339"|"Melo, P.H.A."|"2005-5-19"|"2005"|"5"|"19"|"Erva crescendo e, fendas em rocha calcária, interior de mata."|""|"Brasil"|"Minas Gerais"|"Pains"|"Fazenda Timburé."|"0"|"0"|""|""|"-20.4061111"|"-46.0936111"|"Salino, A"|"2005"|""|""|""|"Hemionitis tomentosa (Lam.) Raddi"|"PTERIDACEAE"|"Hemionitis"|"tomentosa"|""|"specie"|"(Lam.) Raddi"|"Samambaias e Licófitas"|""|"Plantae"|""|"BHCB 94817"
"Collection"|"Creative Commons"|"urn:catalog:RB:1416432"|"RB"|"2019-08-22"|"RB"|"RB"|"RB01416432"|"4412"|"M.G.Bovini"|"2018-5-22"|"2018"|"5"|"22"|"Arvoreta ciófila, ca. 3m. Folhas membranáceas, levemente bicolores. Frutos imaturos verdes. Poucas no local."|""|"Brasil"|"Minas Gerais"|"Iguatama"|"próximo a fazenda Faroeste, estrada de chão para Pains. Área de mineração. 677m"|""|""|""|""|"-20.3422222"|"-45.6663889"|""|""|""|""|""|"Randia"|"RUBIACEAE"|"Randia"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"RB 792017"
