datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	verbatimlatitude	verbatimlongitude	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited	isolatedfrom	isolator	isolationmethod	conditionsforgrowth	geneticallymodified	genotype	mutant	race	alternatestate	strainproperties	strainapplications	formofsupply	restrictions	biologicalrisks	pathogenicity
2024-08-14T10:12:20	PreservedSpecimen	Brasil	Minas Gerais	UNICAMP	UEC	210128	Plantae	Magnoliopsida			Phytolaccaceae	Petiveria	alliacea		Petiveria alliacea	L.		2003	05	25	Melo, PHA; Carvalho, FA	639				Melo, PHA	2018	07	20		Pains	Fazenda Amargoso, MG 439 Km 16	-20.381	-45.661917	-45.661917	-20.381			75	810									<nO>Erva, terrícola, encosta de afloramento, terrestre, inflorescência branca, odor fétido.</nO>	UEC188699																				
2024-09-27T08:25:28	PreservedSpecimen	Brasil	Minas Gerais	EPAMIG	PAMG	39803	Plantae				Fabaceae	Desmodium	incanum		Desmodium incanum	(Sw.) DC.		1995	01	29	M. Brandão	24708				L.C.P. Lima	2011	12			Pains		20° 22' 13"S	45° 39' 26"W	-45.657222	-20.370278			728	728									<nO>Subarbusto em frutificação, frequente na área. Unicata</nO>																					
2024-09-27T08:25:28	PreservedSpecimen	Brasil	Minas Gerais	EPAMIG	PAMG	39804	Plantae				Fabaceae	Desmodium	incanum		Desmodium incanum	(Sw.) DC.		1995	01	29	M. Brandão	24769									Pains		20° 22' 13"S	45° 39' 26"W	-45.657222	-20.370278			728	728									<nO>Orla da estrada. Frequente. Unicata</nO>																					
2024-09-27T08:25:26	PreservedSpecimen	Brasil	Minas Gerais	EPAMIG	PAMG	39805	Plantae				Fabaceae	Desmodium	barbatum		Desmodium barbatum	(L.) Benth.					M. Brandão	24710									Pains		20° 22' 13"S	45° 39' 26"W	-45.657222	-20.370278			728	728									<nO>Orla da estrada. Flores róseas. Unicata</nO>																					
2024-05-07T10:44:52	PreservedSpecimen	Brasil	Minas Gerais	CEPLAC	CEPEC	124618	Plantae				Acanthaceae	Justicia	brasiliana		Justicia brasiliana			2006	07	11	R. A. X. Borges	206				S. R. Profice					PAINS	Mineração Vale do São Miguel.	20S21'59"	45W40'11"	-45.669722	-20.366389												30/12/2008																						
2024-05-07T10:59:32	PreservedSpecimen	Brasil	Minas Gerais	CEPLAC	CEPEC	133101	Plantae				Malpighiaceae	Carolus	chlorocarpus		Carolus chlorocarpus						P.H.A. Melo	1259				Y.R.Oliveira					PAINS				-45.6613998413086	-20.3705997467041	18263												<nO><ll>dwc_commonname:</ll></nO>																					
2023-05-26T14:21:30	PreservedSpecimen	Brasil	Minas Gerais	UFLA	ESAL	32653	Plantae				Euphorbiaceae	Sebastiana	brasiliensis		Sebastiana brasiliensis	Spreng		2006	11	25	Melo, PHA; Santos, RM	2440				P.H.A. Melo	2007				Pains	Nascentes do Rio São Miguel, Região do Onça	0	0	-45.6614	-20.3706	18263												<nO>Árvore, 8m, inflorescência esverdeada; Vegetação no interior de afloramento calcário</nO>																					
2023-05-26T14:19:35	PreservedSpecimen	Brasil	Minas Gerais	UFLA	ESAL	32661	Plantae				Amaranthaceae	Chamissoa	altissima		Chamissoa altissima	(Jacq.) Kunth		2003	08	09	Melo, PHA	799				P.H.A. Melo	2005				Pains	Fazenda Amargoso, MG 439, km 16	-20.3825	-45.661944	-45.661944	-20.3825			750	750									<nO>Arbusto, inflorescência verde e rosa; Vegetação no interior de afloramento calcário</nO>																					
2023-05-26T14:21:27	PreservedSpecimen	Brasil	Minas Gerais	UFLA	ESAL	32647	Plantae				Euphorbiaceae	Croton	triqueter		Croton triqueter	Lam.		2004	04	23	Melo, PHA	1185				P.H.A. Melo	2005				Pains	Fazenda Amargoso, MG 439, km 16	-20.381111	-45.661944	-45.661944	-20.381111			725	725									<nO>Arbusto, flores verde-creme; Vegetação na base de afloramento calcário</nO>																					
2023-05-26T14:19:54	PreservedSpecimen	Brasil	Minas Gerais	UFLA	ESAL	27111	Plantae				Araceae	Philodendron	bipinnatifidum		Philodendron bipinnatifidum	Schott					Juliana de Andrade	s.n.				Mansanares, ME					Pains	Propriedade rural	0	0	-45.6614	-20.3706	18263												<nO>; ; ;</nO>																					
2023-05-26T14:19:54	PreservedSpecimen	Brasil	Minas Gerais	UFLA	ESAL	32686	Plantae				Araceae	Anthurium	minarum		Anthurium minarum	Sakur. & Mayo		2003	03	06	Melo, PHA	420				P.H.A. Melo	2007				Pains	Fazenda Amargoso, MG 439, km 16	-20.381111	-45.661944	-45.661944	-20.381111													<nO>Erva, saxícola, espata verde, espádice roxa; Vegetação no interior de afloramento calcário</nO>																					
2024-01-30T15:24:19	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	160219	Plantae				Solanaceae	Solanum	alternatopinnatum		Solanum alternatopinnatum	Steud.		2003	03	22	Melo, PHA	506				Barros, A	2003	04			Pains		-20.387222	-45.649722	-45.649722	-20.387222														SPF00160219																				
2023-12-20T16:04:11	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	163729	Plantae				Meliaceae	Trichilia	elegans		Trichilia elegans	A.Juss.		2003	12	08	Melo, PHA	1011				Pirani, JR	2004				Pains		-20.382083	-45.651167	-45.651167	-20.382083			650	700										SPF00163729																				
2023-12-20T16:04:35	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	162113	Plantae				Myrtaceae	Eugenia	moraviana		Eugenia moraviana	O.Berg		2003	07	06	Melo, PHA	761				Sobral, M	2004				Pains		-20.387222	-45.649722	-45.649722	-20.387222			750	810										SPF00162113																				
2024-01-30T15:22:47	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	200689	Plantae				Moraceae	Ficus	obtusifolia		Ficus obtusifolia	Kunth		2006	07	11	Borges, RAX	147				Pelissari, G	2014	09	24		Pains	Mineração Vale do São Miguel. Região cárstica; mata seca decidual sobre afloramento de calcário próximo ao Rio São Miguel.	-20.364444	-45.673611	-45.673611	-20.364444			642	642									<nO>Árvore, 12 m, fohas levemente discolores, látex branco abundante, sicônios verdes com pintas negras.</nO>	SPF00200689																				
2023-12-20T15:56:37	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	188964	Plantae				Bignoniaceae	Mansoa	difficilis		Mansoa difficilis	(Cham.) Bureau & K.Schum.		2003	10	28	Melo, PHA	923				Lohmann, LG	2008				Pains	Fazenda Amargoso, MG 439 Km 16.	-20.387158	-45.649453	-45.649453	-20.387158			750	750									<nO>Trepadeira, na borda de afloramento calcário, flores lilás.</nO>	SPF00188964																				
2023-12-20T15:56:35	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	188962	Plantae				Bignoniaceae	Lundia	obliqua		Lundia obliqua	Sond.		2004	03	03	Melo, PHA	1118				Lohmann, LG	2008				Pains	Fazenda Amargoso, MG 439 Km 16.	-20.380601	-45.651092	-45.651092	-20.380601			700	750									<nO>Trepadeira na borda sul da mata seca, flores amareladas.</nO>	SPF00188962																				
2023-12-20T16:08:19	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	163723	Plantae				Rutaceae	Metrodorea	nigra		Metrodorea nigra	A.St.-Hil.		2003	12	08	Melo, PHA	1009				Pirani, JR	2004				Pains	Lat.: 20º22'55.5" - 20º23'05.7"S&nf;Long.: 45º39'04.2" - 45º38'57.7"W	-20.382083	-45.651167	-45.651167	-20.382083			650	700										SPF00163723																				
2023-12-20T15:53:40	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	164376	Plantae				Acanthaceae	Justicia	thunbergioides		Justicia thunbergioides	(Lindau) Leonard		2003	03	06	Melo, PHA	421				Sartin, RD	2014	08			Pains		0	0	-45.6613998413086	-20.3705997467041	18263													SPF00164376																				
2023-12-20T15:59:38	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	168330	Plantae				Euphorbiaceae	Manihot	janiphoides		Manihot janiphoides	Müll.Arg.		1991	01	23	Rollo, MAL	7				Cordeiro, I	2005	04			Pains		0	0	-45.6613998413086	-20.3705997467041	18263												<nO>Arbusto, pequeno porte (2-3 m), frutificando crescendo sobre rocha calcária.</nO>	SPF00168330																				
2023-12-20T15:57:03	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	168323	Plantae				Cactaceae	Lepismium	cruciforme		Lepismium cruciforme	(Vell.) Miq.		1991	01	23	Rollo, MAL	s.n.				Pirani, JR	2005				Pains		0	0	-45.6613998413086	-20.3705997467041	18263												<nO>Crescendo sobre rocha calcária rupestre.</nO>	SPF00168323																				
2023-12-20T16:04:37	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	164430	Plantae				Myrtaceae	Eugenia	repanda		Eugenia repanda	O.Berg		2003	04	15	Melo, PHA	561				Sobral, M	2003	06			Pains		-20.387222	-45.649722	-45.649722	-20.387222			750	810										SPF00164430																				
2023-12-20T16:01:19	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	168341	Plantae				Leguminosae	Dalbergia	foliolosa		Dalbergia foliolosa	Benth.		1991	01	23	Rollo, MAL	5				Cordeiro, I	2005				Pains		0	0	-45.6613998413086	-20.3705997467041	18263													SPF00168341																				
2023-12-20T15:54:29	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	168320	Plantae				Apocynaceae	Aspidosperma	polyneuron		Aspidosperma polyneuron	Müll.Arg.		1991	01	25	Rollo, MAL	29				Pereira, ASS	2016	02			Pains		0	0	-45.6613998413086	-20.3705997467041	18263												<nO>Árvore (10-12 m) frutificando junto a paredão calcário.</nO>	SPF00168320																				
2023-12-20T16:03:20	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	77495	Plantae				Malvaceae	Pseudobombax	campestre		Pseudobombax campestre	(Mart. & Zucc.) A.Robyns		1991	01	23	Rollo, MAL	8				Yoshikawa, VN	2017	06			Pains		0	0	-45.6613998413086	-20.3705997467041	18263													SPF00077495																				
2023-12-20T16:08:45	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	168333	Plantae				Salicaceae	Prockia	crucis		Prockia crucis	P.Browne ex L.		1991	01	23	Rollo, MAL	s.n.				Pirani, JR					Pains		0	0	-45.6613998413086	-20.3705997467041	18263													SPF00168333																				
2023-12-20T16:04:07	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	168347	Plantae				Meliaceae	Cedrela	fissilis		Cedrela fissilis	Vell.		1991	01	23	Rollo, MAL	1				Pirani, JR	1992				Pains		0	0	-45.6613998413086	-20.3705997467041	18263													SPF00168347																				
2023-12-20T15:59:15	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	168328	Plantae				Euphorbiaceae	Acalypha	villosa		Acalypha villosa	Jacq.		1991	01	23	Rollo, MAL	s.n.				Sousa, AAC	2013	08	23		Pains		0	0	-45.6613998413086	-20.3705997467041	18263												<nO>Rocha calcária.; Arbusto crescendo sobre rocha calcária, vegetação rupestre.</nO>	SPF00168328																				
2023-12-20T16:01:58	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	168337	Plantae				Leguminosae	Senegalia	velutina		Senegalia velutina	(DC.) Seigler & Ebinger		1991	01	23	Rollo, MAL	s.n.				Ribeiro, PG	2011	05			Pains		0	0	-45.6613998413086	-20.3705997467041	18263													SPF00168337																				
2023-12-20T16:06:04	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	104342	Plantae				Piperaceae	Piper	umbellatum		Piper umbellatum	L.		1991	01	25	Rollo, MAL	30A				Pirani, JR	2005				Pains		0	0	-45.6613998413086	-20.3705997467041	18263													SPF00104342																				
2023-12-20T16:08:53	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	163730	Plantae				Sapindaceae	Allophylus			Allophylus			2004	12	29	Melo, PHA	1183									Pains	Coordenadas: 20º22'51,6''S e 20º23'32,3''S a 45º39'04,4''W e 45º38'42,9''W.	0	0	-45.6613998413086	-20.3705997467041	18263		700	750										SPF00163730																				
2023-12-20T16:04:10	PreservedSpecimen	Brasil	Minas Gerais	USP	SPF	189652	Plantae				Meliaceae	Trichilia	catigua		Trichilia catigua	A.Juss.		2004	06	26	Melo, PHA	1211				Sobral, M					Pains		-20.381056	-45.65125	-45.65125	-20.381056			670	670										SPF00189652																				
2023-04-05T07:55:56	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	38614	Plantae											2012	01	13	Antônio-Silva, L.; Lucon, T.	195									Pains	Fazenda de Tamboril, Próximo ao maciço calcário	-20.618333	-46.103889	-46.103889	-20.618333			872	872									<nO>Cerrado- Mata Seca de Pains</nO>																					
2019-11-05T16:46:30	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26677	Plantae				Bromeliaceae	Tillandsia	tenuifolia		Tillandsia tenuifolia	L.		2011	10	24	Antônio-Silva, L.; Lucon, T.	280				Antônio-Silva, L.	2012	11	29		Pains	Sobre afloramento calcário. Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		779	779									<nO>Erva rupícola, folhas verdes com ápice róseo. Brácteas escapais róseas e flores branco-azuladas</nO>																					
2019-11-05T16:42:56	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26675	Plantae				Apocynaceae							2011	04	21	Antônio-Silva, L.; Lucon, T.	217									Pains	Sobre afloramento calcário	0	0	-45.6613998413086	-20.3705997467041	18263		712	712									<nO>Trepadeira, frutos verdes, presença de látex branco. Cerrado, Mata Seca de Pains</nO>																					
2019-11-05T16:46:30	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26679	Plantae				Bromeliaceae	Tillandsia	tenuifolia		Tillandsia tenuifolia	L.		2011	10	24	Antônio-Silva, L.; Lucon, T.	343				Antônio-Silva, L.	2012	11	29		Pains	Sobre afloramento calcário. Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		779	779									<nO>Erva rupícola, folhas verdes com ápice róseo. Brácteas escapais róseas e flores branco-azuladas</nO>																					
2019-11-06T09:56:49	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26577	Plantae				Orchidaceae	Cattleya	bicolor		Cattleya bicolor	Lindl.		2011	08	06	Antônio-Silva, L.; Lucon, T.	199				Antônio-Silva, L.	2012	07	12		Pains	Topo de maciço calcário. Cerrado - Mata seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		705	705									<nO>Erva rupícola ou epífita com 60cm de altura. Flores de pétalas e sépalas arroxeadas e labelo lilás</nO>																					
2023-04-05T07:56:26	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	38615	Plantae				Lauraceae							2011	08	03	Antônio-Silva, L.; Lucon, T.	339									Pains	Vilarejo de Corumbá, Próximo à gruta Ninfetinha de Corumbá	0	0	-45.6613998413086	-20.3705997467041	18263		732	732									<nO>Arbórea, aproximadamente 6 m de altura, flores com 6 pétalas brancas e miolo creme, botões florais caramelos, aromática. Cerrado- Mata Seca de Pains</nO>																					
2019-11-06T09:57:36	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26735	Plantae				Sapindaceae	Serjania			Serjania	Mill.		2011	08	02	Antônio-Silva, L.; Lucon, T.	200									Pains	Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		759	759									<nO>Trepadeira com frutos avermelhados</nO>																					
2024-03-01T08:38:22	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	25630	Plantae				Fabaceae	Bionia			Bionia	Mart. ex Benth.		2011	06	24	Antônio-Silva, L.; Lucon, T.	329				Queiroz, R.T.	2013	01	29		Pains	Fazenda Lagoa do Retiro, Estrada para Lagoa do Retiro	0	0	-45.6613998413086	-20.3705997467041	18263		804	804									<nO>Trepadeira com flores vermelhas. Cerrado - Mata Seca de Pains.</nO>																					
2024-03-01T08:38:22	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	25629	Plantae				Fabaceae	Bionia			Bionia	Mart. ex Benth.		2011	06	24	Antônio-Silva, L.; Lucon, T.	328				Queiroz, R.T.	2013	01	29		Pains	Fazenda Lagoa do Retiro, Estrada para Lagoa do Retiro	0	0	-45.6613998413086	-20.3705997467041	18263		804	804									<nO>Trepadeira com flores vermelhas. Cerrado - Mata Seca de Pains.</nO>																					
2019-11-05T16:47:12	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	25628	Plantae				Convolvulaceae	Ipomoea	hederifolia		Ipomoea hederifolia	L.		2011	06	24	Antônio-Silva, L.; Lucon, T.	327				Vasconcelos, L.V.	2013	06	24		Pains	Fazenda Lagoa do Retiro, Estrada para Lagoa do Retiro. Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		799	799									<nO>Volúvel com flores vermelhas</nO>																					
2022-08-15T08:06:26	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26734	Plantae				Rubiaceae	Randia	armata		Randia armata	(Sw.) DC.		2012	01	13	Antônio-Silva, L.; Lucon, T.	194				Barbosa, M.R.V.	2022	07	28		Pains	Fazendo Tamboril, Próximo ao maciço calcário.	0	0	-45.6613998413086	-20.3705997467041	18263		872	872									<nO>Arbusto aprox. 3m de altura, frutos verdes imaturos no ápice dos ramos, presença de estípulas foliares. Cerrado - Mata Seca de Pains.</nO>																					
2022-12-21T10:53:16	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	38616	Plantae											2011	04	21	Antônio-Silva, L.; Lucon, T.	403									Pains	Faz, Lagoa do Retiro, próximo à Lagoa do Retiro em maciço calcário	0	0	-45.6613998413086	-20.3705997467041	18263		0	0									<nO>Arvoreta de 2 m de altura, flores com pétalas brancas. Cerrado- Mata Seca de Pains</nO>																					
2019-11-05T16:46:15	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26578	Plantae				Balanophoraceae	Langsdorffia			Langsdorffia			2011	08	04	Antônio-Silva, L.; Lucon, T.	204									Pains	Lagoa do Retiro, Próximo à Lagoa do Retiro, sobre maciço calcário. Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		738	738									<nO>Erva saxícola aprox. 12cm, com bracteas de base escuras e ápice amarelo, flores branco amareladas</nO>																					
2019-11-05T16:46:27	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	25637	Plantae				Bromeliaceae	Aechmea	distichantha		Aechmea distichantha	Lem.		2011	06	25	Antônio-Silva, L.; Lucon, T.	341				Antônio-Silva, L.	2011	10	27		Pains	Proximo a cavidade H155	0	0	-45.6613998413086	-20.3705997467041	18263		722	722									<nO>Planta em cerrado - mata seca de Pains. Sobre afloramento de rocha calcária. Rupícola. Brácteas e escapo rósea. Flores roxas</nO>																					
2024-03-01T08:38:22	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26869	Plantae				Fabaceae	Bauhinia	forficata		Bauhinia forficata	Link.		2011	04	21	Antônio-Silva, L.; Lucon, T.	213				Queiroz, R.T.	2013	01	29		Pains		0	0	-45.6613998413086	-20.3705997467041	18263		724	724									<nO>Arbórea aprox. 3m de altura, frutos verdes. Em pastagem na beira da estrada. Cerrado - Mata Seca de Pains.</nO>																					
2023-08-04T15:57:00	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26871	Plantae				Passifloraceae	Passiflora			Passiflora			2011	04	21	Antônio-Silva, L.; Lucon, T.	215									Pains		0	0	-45.6613998413086	-20.3705997467041	18263		712	712									<nO>Trepadeira, flores com pétalas brancas na face adaxial e verdes na face abaxial, sépalas esverdeadas e cálice verde, frutos imaturos verdes. Cerrado - Mata Seca de Pains. Em afloramento calcário, com vegetação arbórea-arbustiva</nO>																					
2019-11-06T09:56:18	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	25638	Plantae				Malvaceae	Pseudobombax	campestre		Pseudobombax campestre	(Mart. & Zucc.) A.Robyns		2011	08	03	Antônio-Silva, L.; Lucon, T.	342				Antônio-Silva, L.	2011	10	27		Pains	Área da Mineração 505, Sobre afloramento de rocha calcária. Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		705	705									<nO>Arbórea aprox. 2,5m de altura, em meio aos lapiás, flores brancas, numerosos estames, 5 pétalas com a parte adaxial branca e abaxial verde amarronzado</nO>																					
2019-11-06T09:56:02	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26676	Plantae				Lecythidaceae	Cariniana	rubra		Cariniana rubra	Gardner ex Miers		2011	04	23	Antônio-Silva, L.; Lucon, T.	218				Antônio-Silva, L.	2012	11	29		Pains	Em meio à pastagem. Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		724	724									<nO>Nome popular: Jequitibá, Cachimbo de Macaco. Arbórea aprox. 5m de altura, frutos secos deiscentes</nO>																					
2022-10-04T10:14:49	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26874	Plantae				Fabaceae	Machaerium	hirtum		Machaerium hirtum	(Vell.) Stellfeld		2011	04	23	Antônio-Silva, L.; Lucon, T.	203				Queiroz, R.T.	2013	01	29		Pains	Em pastagem no entorno de maciços calcários. Cerrado- Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		724	724									<nO>Arbórea aprox. 3,5m de altura. Frutos imaturos verdes</nO>																					
2019-11-06T09:57:43	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	25633	Plantae				Solanaceae	Solanum			Solanum			2011	06	25	Antônio-Silva, L.; Lucon, T.	333									Pains	Fazenda da Lagoa do Retiro, Estrada para a Lagoa do Retiro. Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		738	738									<nO>Arbusto aprox. 1,5m de altura, flores brancas e fruto imaturo verde</nO>																					
2019-11-06T09:57:41	PreservedSpecimen	Brasil	Minas Gerais	UFOP	OUPR	26736	Plantae				Solanaceae	Solandra			Solandra			2011	08	03	Antônio-Silva, L.; Lucon, T.	201									Pains	Meio de dolinas formadas no topo do maciço calcário. Cerrado - Mata Seca de Pains	0	0	-45.6613998413086	-20.3705997467041	18263		689	689									<nO>Arbusto aprox. 3m de altura, flores bege</nO>																					
